current_battery_service_state,ac_powered,usb_powered,wireless_powered,dock_powered,max_charging_current,max_charging_voltage,charge_counter,status,health,present,level,scale,voltage,temperature,technology,charging_state,charging_policy,batterymiscevent,batterycurrentevent,msecplugtypesummary,led_charging,led_low_battery,current_now,adaptive_fast_charging_settings,super_fast_charging_settings,feature_wireless_fast_charger_control,mwasusedwirelessfastchargerpreviously,mwirelessfastchargingsettingsenable,llb_cal,llb_man,llb_current,llb_diff,sec_feature_battery_full_capacity,mfullcapacityenable,feature_hiccup_control,feature_supported_daily_board,sec_feature_battery_life_extender,sec_feature_use_wireless_power_sharing,mprotectbatterymode,mprotectionthreshold,mmaximumprotectionthreshold,mltchighthreshold,mltchighsocduration,mltcreleasethreshold,feature_save_battery_cycle,feature_full_battery_cycle,battery_icauthenticationresults,battery_firstusedate,msavedbatteryasoc,msavedbatteryusage,msavedfullstatusduration,08-04_13,08-05_17,08-05_18,08-05_20,08-05_22,08-06_21,08-06_22,08-07_13,07-30_03,mbatterychangedconditioncounts,msavedbatterymaxtemp,msavedbatterymaxcurrent,msavedbatterybsoh,timestamp
,false,true,false,false,0,0,1524750,2,2,true,64,100,4088,343,Li-ion,0,0,268500992,32768,2,true,true,1663281,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:06.768890
,false,true,false,false,0,0,1524750,2,2,true,64,100,4088,343,Li-ion,0,0,268500992,32768,2,true,true,1663281,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:07.861511
,false,true,false,false,0,0,1524750,2,2,true,64,100,4088,343,Li-ion,0,0,268500992,32768,2,true,true,1663281,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:08.950622
,false,true,false,false,0,0,1524750,2,2,true,64,100,4088,343,Li-ion,0,0,268500992,32768,2,true,true,1663281,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:10.040343
,false,true,false,false,0,0,1524750,2,2,true,64,100,4088,343,Li-ion,0,0,268500992,32768,2,true,true,1663281,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:11.102047
,false,true,false,false,0,0,1527125,2,2,true,64,100,4090,343,Li-ion,0,0,268500992,32768,2,true,true,1682031,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:12.187713
,false,true,false,false,0,0,1527125,2,2,true,64,100,4090,343,Li-ion,0,0,268500992,32768,2,true,true,1682031,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:13.285542
,false,true,false,false,0,0,1527125,2,2,true,64,100,4090,343,Li-ion,0,0,268500992,32768,2,true,true,1682031,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:14.364597
,false,true,false,false,0,0,1527125,2,2,true,64,100,4090,343,Li-ion,0,0,268500992,32768,2,true,true,1682031,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:15.416114
,false,true,false,false,0,0,1527125,2,2,true,64,100,4090,343,Li-ion,0,0,268500992,32768,2,true,true,1682031,true,false,true,false,true,20240925,,YEAR2025M7D30,44,true,false,true,false,false,true,1,80,85,95,10080,75,true,true,[true],[20241007],[100],[12005],[2908],03:15.737  android.intent.action.ACTION_POWER_DISCONNECTED,39:55.991  android.intent.action.BATTERY_OKAY,20:36.786  android.intent.action.ACTION_POWER_DISCONNECTED,42:57.153  android.intent.action.ACTION_POWER_CONNECTED,12:15.481  android.intent.action.ACTION_POWER_DISCONNECTED,39:34.647  android.intent.action.ACTION_POWER_CONNECTED,50:33.237  android.intent.action.ACTION_POWER_DISCONNECTED,"24:31.293  Sending ACTION_BATTERY_CHANGED: level:64, status:2, health:2, remain:2109, ac:false, usb:true, wireless:false, pogo:false, misc:0x10010000, charge_type:1, charger_type:1, voltage:4084, temperature:343, online:19, charging_status:0, cycle_count:0, current_avg:1625000, ps:false, hvc:true, current_event:0x8000, mcc:0, mcv:0, cc:1517625, present:true, scale:100, technology:Li-ion, protection:0","25:40.668  [SS][BattInfo]FullStatusUsageData efsValue:2908 ,authValue:2908","[36, 3, 1, 856, 33, 178, 516, 0, 0, 48, 31, 0, 31, 0, 0, 12, 162, 49, 0, 0, 0, 1]",550,5615625,100.00,2025-08-07T13:25:16.477516
